쇼핑몰,쇼핑몰번호,주문번호,품목별 주문번호,배송메시지,총 주문금액,총 결제금액,상품번호,주문상품명,주문상품명(옵션포함),수량,판매가,수령인,수령인 휴대전화,수령인 우편번호,수령인 주소,수령인 상세 주소,결제구분,결제수단,발주일,배송국가
한국어 쇼핑몰,1,20250927-0000017,20250927-0000017-01, 문앞에 두세요,159000,159000,218,[ 사전예약 ] 제사상_알뜰  명절음식 명절상차림 제수용음식,"[ 사전예약 ] 제사상_알뜰  명절음식 명절상차림 제수용음식(제사상_알뜰 (생선 기본제공/택1)=침조기(중), 알뜰상 외 단품 추가하기=소불고기볶음 350g(+11000원))",1,148000,박치영,010-0000-0000,12345,부산시 해운대구,107동1904호,T,신용카드,9/27/25 11:41,
한국어 쇼핑몰,1,20250927-0000017,20250927-0000017-02, 문앞에 두세요,159000,159000,218,[ 사전예약 ] 제사상_알뜰  명절음식 명절상차림 제수용음식,[ 사전예약 ] 제사상_알뜰  명절음식 명절상차림 제수용음식(제사상_알뜰 (생선 기본제공/택1)=침조기(중)),1,148000,박치영,010-0000-0001,12345,부산시 해운대구,107동1904호,T,신용카드,9/27/25 11:41,
한국어 쇼핑몰,1,20250929-0000023,20250929-0000023-01,배송 전에 미리 연락바랍니다.,180000,180000,307,[ 사전예약 ] 제사상 단품 골라담기 제사음식 명절음식,[ 사전예약 ] 제사상 단품 골라담기 제사음식 명절음식(명절음식 골라담기=돔),1,5000,조성욱,010-0000-0002,12345,부산시 해운대구,202호,T,신용카드,9/29/25 6:22,
한국어 쇼핑몰,1,20250929-0000023,20250929-0000023-02,배송 전에 미리 연락바랍니다.,180000,180000,307,[ 사전예약 ] 제사상 단품 골라담기 제사음식 명절음식,[ 사전예약 ] 제사상 단품 골라담기 제사음식 명절음식(명절음식 골라담기=궁중갈비찜900g),2,5000,조성욱,010-0000-0003,12345,부산시 해운대구,202호,T,신용카드,9/29/25 6:22,
한국어 쇼핑몰,1,20250929-0000023,20250929-0000023-03,배송 전에 미리 연락바랍니다.,180000,180000,307,[ 사전예약 ] 제사상 단품 골라담기 제사음식 명절음식,[ 사전예약 ] 제사상 단품 골라담기 제사음식 명절음식(명절음식 골라담기=침조기(대)),1,5000,조성욱,010-0000-0004,12345,부산시 해운대구,202호,T,신용카드,9/29/25 6:22,
한국어 쇼핑몰,1,20250929-0000036,20250929-0000036-01,부재 시 문 앞에 놓아주세요.,60000,55000,19,"행복한 생일상(2인),생일상차림,생일상밀키트,생일,홈파티","행복한 생일상(2인),생일상차림,생일상밀키트,생일,홈파티",1,60000,서광인,010-0000-0005,12345,부산시 해운대구,102동 1502호,T,"적립금,신용카드",9/29/25 8:51,
한국어 쇼핑몰,1,20250929-0000045,20250929-0000045-01,배송 전에 미리 연락바랍니다.,194000,194000,307,[ 사전예약 ] 제사상 단품 골라담기 제사음식 명절음식,[ 사전예약 ] 제사상 단품 골라담기 제사음식 명절음식(명절음식 골라담기=궁중잡채500g),2,5000,강옥자,010-0000-0006,12345,부산시 해운대구,207동703호,T,신용카드,9/29/25 10:03,
한국어 쇼핑몰,1,20250929-0000045,20250929-0000045-02,배송 전에 미리 연락바랍니다.,194000,194000,307,[ 사전예약 ] 제사상 단품 골라담기 제사음식 명절음식,[ 사전예약 ] 제사상 단품 골라담기 제사음식 명절음식(명절음식 골라담기=부추전3장),1,5000,강옥자,010-0000-0007,12345,부산시 해운대구,207동703호,T,신용카드,9/29/25 10:03,
한국어 쇼핑몰,1,20250929-0000045,20250929-0000045-03,배송 전에 미리 연락바랍니다.,194000,194000,307,[ 사전예약 ] 제사상 단품 골라담기 제사음식 명절음식,[ 사전예약 ] 제사상 단품 골라담기 제사음식 명절음식(명절음식 골라담기=탕국 1kg),2,5000,강옥자,010-0000-0008,12345,부산시 해운대구,207동703호,T,신용카드,9/29/25 10:03,
한국어 쇼핑몰,1,20250929-0000045,20250929-0000045-04,배송 전에 미리 연락바랍니다.,194000,194000,307,[ 사전예약 ] 제사상 단품 골라담기 제사음식 명절음식,[ 사전예약 ] 제사상 단품 골라담기 제사음식 명절음식(명절음식 골라담기=새우튀김280g),2,5000,강옥자,010-0000-0009,12345,부산시 해운대구,207동703호,T,신용카드,9/29/25 10:03,
